PROCESSNAME,REFERENCEFLOW,LOCATION,CATEGORY,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5
"MSW landfilling of Branches; LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Branches, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and electricity generation, typical collection, moderate conditions (k=0.04)","Grass, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and flaring, California regulatory collection, wet conditions (k=0.06)","Phonebooks, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Flaring,LFG recovery,Landfilling
MSW landfilling of Mixed MSW; no LFG recovery,"Mixed MSW, landfilled",NULL,No LFG recovery,Landfilling,NULL,NULL,NULL
"MSW landfilling of Dimensional Lumber; LFG recovery and electricity generation, California regulatory collection, dry conditions (k=0.02)","Dimensional Lumber, landfilled",NULL,Dry conditions (k=0.02),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and electricity generation, California regulatory collection, dry conditions (k=0.02)","Leaves, landfilled",NULL,Dry conditions (k=0.02),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Grass, landfilled",NULL,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and electricity generation, worst-case collection, bioreactor (k=0.12)","Leaves, landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Energy production,LFG recovery,Landfilling
MSW landfilling of LDPE,"LDPE, landfilled",NULL,Landfilling,NULL,NULL,NULL,NULL
"MSW landfilling of Newspaper; LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Newspaper, landfilled",NULL,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Corrugated Containers; LFG recovery and electricity generation, worst-case collection, bioreactor (k=0.12)","Corrugated Containers, landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and electricity generation, typical collection, moderate conditions (k=0.04)","Food Waste (non-meat), landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed MSW; LFG recovery and electricity generation, California regulatory collection, National average conditions","Mixed MSW, landfilled",NULL,National Average,California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and electricity generation, California regulatory collection, wet conditions (k=0.06)","Office Paper, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Wood Flooring; LFG recovery and flaring, aggressive collection, moderate conditions (k=0.04)","Wood Flooring, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Flaring,LFG recovery,Landfilling
MSW landfilling of Personal Computers,"Personal Computers, landfilled",NULL,Landfilling,NULL,NULL,NULL,NULL
"MSW landfilling of Mixed MSW; LFG recovery and flaring, aggressive collection, dry conditions (k=0.02)","Mixed MSW, landfilled",NULL,Dry conditions (k=0.02),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Textbooks; National average LFG recovery, typical collection, National average conditions","Textbooks, landfilled",NULL,National Average,Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Grains; LFG recovery and flaring, typical collection, dry conditions (k=0.02)","Grains, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and electricity generation, aggressive collection, wet conditions (k=0.06)","Dimensional Lumber, landfilled",NULL,Wet conditions (k=0.06),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dairy Products; LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Dairy Products, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Leaves, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and electricity generation, worst-case collection, bioreactor (k=0.12)","Medium-density Fiberboard, landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and electricity generation, typical collection, bioreactor (k=0.12)","Medium-density Fiberboard, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Corrugated Containers; LFG recovery and flaring, aggressive collection, moderate conditions (k=0.04)","Corrugated Containers, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Newspaper; LFG recovery and flaring, aggressive collection, wet conditions (k=0.06)","Newspaper, landfilled",NULL,Wet conditions (k=0.06),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Medium-density Fiberboard, landfilled",NULL,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and flaring, California regulatory collection, wet conditions (k=0.06)","Dimensional Lumber, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Flaring,LFG recovery,Landfilling
MSW landfilling of Textbooks; no LFG recovery,"Textbooks, landfilled",NULL,No LFG recovery,Landfilling,NULL,NULL,NULL
"MSW landfilling of Yard Trimmings; LFG recovery and flaring, aggressive collection, moderate conditions (k=0.04)","Yard Trimmings, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grains; LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Grains, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Branches; LFG recovery and electricity generation, typical collection, moderate conditions (k=0.04)","Branches, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Yard Trimmings; LFG recovery and flaring, worst-case collection, moderate conditions (k=0.04)","Yard Trimmings, landfilled",NULL,Moderate conditions (k=0.04),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Leaves; National average LFG recovery, typical collection, dry conditions (k=0.02)","Leaves, landfilled",NULL,Dry conditions (k=0.02),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Phonebooks; LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Phonebooks, landfilled",NULL,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and flaring, California regulatory collection, National average conditions","Dimensional Lumber, landfilled",NULL,National Average,California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and flaring, typical collection, dry conditions (k=0.02)","Office Paper, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; National average LFG recovery, typical collection, dry conditions (k=0.02)","Medium-density Fiberboard, landfilled",NULL,Dry conditions (k=0.02),Typical operation,National Average LFG recovery,Landfilling,NULL
MSW landfilling of Grass; no LFG recovery,"Grass, landfilled",NULL,No LFG recovery,Landfilling,NULL,NULL,NULL
"MSW landfilling of Leaves; LFG recovery and electricity generation, typical collection, moderate conditions (k=0.04)","Leaves, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed MSW; LFG recovery and flaring, worst-case collection, National average conditions","Mixed MSW, landfilled",NULL,National Average,Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and flaring, worst-case collection, National average conditions","Food Waste (non-meat), landfilled",NULL,National Average,Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and flaring, worst-case collection, National average conditions","Leaves, landfilled",NULL,National Average,Worst-case collection,Flaring,LFG recovery,Landfilling
MSW landfilling of Mixed Metals,"Mixed Metals, landfilled",NULL,Landfilling,NULL,NULL,NULL,NULL
"MSW landfilling of Office Paper; LFG recovery and flaring, aggressive collection, bioreactor (k=0.12)","Office Paper, landfilled",NULL,Bioreactor (k=0.12),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Bread; National average LFG recovery, typical collection, moderate conditions (k=0.04)","Bread, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Corrugated Containers; LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Corrugated Containers, landfilled",NULL,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and electricity generation, aggressive collection, bioreactor (k=0.12)","Dimensional Lumber, landfilled",NULL,Bioreactor (k=0.12),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and flaring, California regulatory collection, moderate conditions (k=0.04)","Phonebooks, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and flaring, California regulatory collection, bioreactor (k=0.12)","Food Waste (non-meat), landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Office Paper; National average LFG recovery, typical collection, dry conditions (k=0.02)","Office Paper, landfilled",NULL,Dry conditions (k=0.02),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Dimensional Lumber; LFG recovery and flaring, aggressive collection, bioreactor (k=0.12)","Dimensional Lumber, landfilled",NULL,Bioreactor (k=0.12),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grains; LFG recovery and flaring, aggressive collection, National average conditions","Grains, landfilled",NULL,National Average,Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dairy Products; LFG recovery and flaring, typical collection, dry conditions (k=0.02)","Dairy Products, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Corrugated Containers; National average LFG recovery, typical collection, wet conditions (k=0.06)","Corrugated Containers, landfilled",NULL,Wet conditions (k=0.06),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Dairy Products; LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Dairy Products, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dairy Products; National average LFG recovery, typical collection, moderate conditions (k=0.04)","Dairy Products, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Office Paper; LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Office Paper, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Wood Flooring; LFG recovery and flaring, typical collection, dry conditions (k=0.02)","Wood Flooring, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and flaring, worst-case collection, dry conditions (k=0.02)","Dimensional Lumber, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Office Paper, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grains; LFG recovery and flaring, California regulatory collection, wet conditions (k=0.06)","Grains, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and flaring, aggressive collection, bioreactor (k=0.12)","Medium-density Fiberboard, landfilled",NULL,Bioreactor (k=0.12),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Corrugated Containers; LFG recovery and flaring, California regulatory collection, bioreactor (k=0.12)","Corrugated Containers, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Newspaper; LFG recovery and electricity generation, typical collection, National average conditions","Newspaper, landfilled",NULL,National Average,Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Branches; LFG recovery and electricity generation, California regulatory collection, moderate conditions (k=0.04)","Branches, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Fruits and Vegetables, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Corrugated Containers; LFG recovery and electricity generation, worst-case collection, National average conditions","Corrugated Containers, landfilled",NULL,National Average,Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Yard Trimmings; LFG recovery and electricity generation, typical collection, National average conditions","Yard Trimmings, landfilled",NULL,National Average,Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Phonebooks, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Fruits and Vegetables, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed MSW; LFG recovery and flaring, aggressive collection, bioreactor (k=0.12)","Mixed MSW, landfilled",NULL,Bioreactor (k=0.12),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Corrugated Containers; LFG recovery and flaring, typical collection, National average conditions","Corrugated Containers, landfilled",NULL,National Average,Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and flaring, California regulatory collection, moderate conditions (k=0.04)","Fruits and Vegetables, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and flaring, California regulatory collection, moderate conditions (k=0.04)","Medium-density Fiberboard, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Newspaper; National average LFG recovery, typical collection, dry conditions (k=0.02)","Newspaper, landfilled",NULL,Dry conditions (k=0.02),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Fruits and Vegetables; LFG recovery and electricity generation, worst-case collection, moderate conditions (k=0.04)","Fruits and Vegetables, landfilled",NULL,Moderate conditions (k=0.04),Worst-case collection,Energy production,LFG recovery,Landfilling
MSW landfilling of Grains; no LFG recovery,"Grains, landfilled",NULL,No LFG recovery,Landfilling,NULL,NULL,NULL
"MSW landfilling of Corrugated Containers; LFG recovery and flaring, typical collection, moderate conditions (k=0.04)","Corrugated Containers, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed MSW; LFG recovery and electricity generation, California regulatory collection, moderate conditions (k=0.04)","Mixed MSW, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grains; LFG recovery and electricity generation, worst-case collection, bioreactor (k=0.12)","Grains, landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and electricity generation, aggressive collection, wet conditions (k=0.06)","Food Waste (non-meat), landfilled",NULL,Wet conditions (k=0.06),Aggressive collection,Energy production,LFG recovery,Landfilling
MSW landfilling of Clay Bricks,"Clay Bricks, landfilled",NULL,Landfilling,NULL,NULL,NULL,NULL
"MSW landfilling of Newspaper; LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Newspaper, landfilled",NULL,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Newspaper; LFG recovery and electricity generation, aggressive collection, wet conditions (k=0.06)","Newspaper, landfilled",NULL,Wet conditions (k=0.06),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed MSW; National average LFG recovery, typical collection, dry conditions (k=0.02)","Mixed MSW, landfilled",NULL,Dry conditions (k=0.02),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Fruits and Vegetables; LFG recovery and electricity generation, aggressive collection, wet conditions (k=0.06)","Fruits and Vegetables, landfilled",NULL,Wet conditions (k=0.06),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Branches; LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Branches, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and flaring, aggressive collection, National average conditions","Grass, landfilled",NULL,National Average,Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Phonebooks, landfilled",NULL,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Newspaper; LFG recovery and flaring, aggressive collection, National average conditions","Newspaper, landfilled",NULL,National Average,Aggressive collection,Flaring,LFG recovery,Landfilling
MSW landfilling of Corrugated Containers; no LFG recovery,"Corrugated Containers, landfilled",NULL,No LFG recovery,Landfilling,NULL,NULL,NULL
"MSW landfilling of Phonebooks; LFG recovery and flaring, worst-case collection, bioreactor (k=0.12)","Phonebooks, landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and electricity generation, aggressive collection, bioreactor (k=0.12)","Phonebooks, landfilled",NULL,Bioreactor (k=0.12),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grains; LFG recovery and electricity generation, worst-case collection, wet conditions (k=0.06)","Grains, landfilled",NULL,Wet conditions (k=0.06),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Bread; LFG recovery and flaring, California regulatory collection, moderate conditions (k=0.04)","Bread, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grains; National average LFG recovery, typical collection, dry conditions (k=0.02)","Grains, landfilled",NULL,Dry conditions (k=0.02),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Mixed MSW; LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Mixed MSW, landfilled",NULL,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; National average LFG recovery, typical collection, National average conditions","Medium-density Fiberboard, landfilled",NULL,National Average,Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Grains; LFG recovery and flaring, California regulatory collection, National average conditions","Grains, landfilled",NULL,National Average,California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Newspaper; LFG recovery and electricity generation, typical collection, bioreactor (k=0.12)","Newspaper, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dairy Products; National average LFG recovery, typical collection, wet conditions (k=0.06)","Dairy Products, landfilled",NULL,Wet conditions (k=0.06),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Bread; LFG recovery and flaring, typical collection, dry conditions (k=0.02)","Bread, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and electricity generation, aggressive collection, wet conditions (k=0.06)","Phonebooks, landfilled",NULL,Wet conditions (k=0.06),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and electricity generation, worst-case collection, wet conditions (k=0.06)","Phonebooks, landfilled",NULL,Wet conditions (k=0.06),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Office Paper; National average LFG recovery, typical collection, National average conditions","Office Paper, landfilled",NULL,National Average,Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Grains; LFG recovery and flaring, worst-case collection, moderate conditions (k=0.04)","Grains, landfilled",NULL,Moderate conditions (k=0.04),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Bread; LFG recovery and flaring, California regulatory collection, bioreactor (k=0.12)","Bread, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and electricity generation, California regulatory collection, bioreactor (k=0.12)","Food Waste (non-meat), landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and electricity generation, worst-case collection, moderate conditions (k=0.04)","Medium-density Fiberboard, landfilled",NULL,Moderate conditions (k=0.04),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Bread; National average LFG recovery, typical collection, National average conditions","Bread, landfilled",NULL,National Average,Typical operation,National Average LFG recovery,Landfilling,NULL
MSW landfilling of Phonebooks; no LFG recovery,"Phonebooks, landfilled",NULL,No LFG recovery,Landfilling,NULL,NULL,NULL
"MSW landfilling of Wood Flooring; LFG recovery and flaring, California regulatory collection, bioreactor (k=0.12)","Wood Flooring, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and electricity generation, typical collection, moderate conditions (k=0.04)","Phonebooks, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Energy production,LFG recovery,Landfilling
MSW landfilling of Aluminum Cans,"Aluminum Cans, landfilled",NULL,Landfilling,NULL,NULL,NULL,NULL
MSW landfilling of Copper Wire,"Copper Wire, landfilled",NULL,Landfilling,NULL,NULL,NULL,NULL
"MSW landfilling of Dairy Products; LFG recovery and flaring, aggressive collection, bioreactor (k=0.12)","Dairy Products, landfilled",NULL,Bioreactor (k=0.12),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and flaring, California regulatory collection, wet conditions (k=0.06)","Grass, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grains; LFG recovery and electricity generation, typical collection, National average conditions","Grains, landfilled",NULL,National Average,Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Fruits and Vegetables, landfilled",NULL,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grains; LFG recovery and flaring, aggressive collection, moderate conditions (k=0.04)","Grains, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and electricity generation, California regulatory collection, National average conditions","Fruits and Vegetables, landfilled",NULL,National Average,California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed MSW; LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Mixed MSW, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Yard Trimmings; LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Yard Trimmings, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Textbooks; LFG recovery and electricity generation, California regulatory collection, dry conditions (k=0.02)","Textbooks, landfilled",NULL,Dry conditions (k=0.02),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and electricity generation, worst-case collection, National average conditions","Leaves, landfilled",NULL,National Average,Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and flaring, aggressive collection, moderate conditions (k=0.04)","Office Paper, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and electricity generation, California regulatory collection, wet conditions (k=0.06)","Dimensional Lumber, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); National average LFG recovery, typical collection, dry conditions (k=0.02)","Food Waste (non-meat), landfilled",NULL,Dry conditions (k=0.02),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Office Paper; National average LFG recovery, typical collection, bioreactor (k=0.12)","Office Paper, landfilled",NULL,Bioreactor (k=0.12),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Dimensional Lumber; LFG recovery and electricity generation, California regulatory collection, National average conditions","Dimensional Lumber, landfilled",NULL,National Average,California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Yard Trimmings; LFG recovery and electricity generation, aggressive collection, wet conditions (k=0.06)","Yard Trimmings, landfilled",NULL,Wet conditions (k=0.06),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Textbooks; LFG recovery and electricity generation, worst-case collection, bioreactor (k=0.12)","Textbooks, landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed MSW; LFG recovery and electricity generation, aggressive collection, National average conditions","Mixed MSW, landfilled",NULL,National Average,Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and electricity generation, typical collection, bioreactor (k=0.12)","Phonebooks, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and electricity generation, California regulatory collection, National average conditions","Food Waste (non-meat), landfilled",NULL,National Average,California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and flaring, aggressive collection, bioreactor (k=0.12)","Grass, landfilled",NULL,Bioreactor (k=0.12),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and electricity generation, worst-case collection, moderate conditions (k=0.04)","Dimensional Lumber, landfilled",NULL,Moderate conditions (k=0.04),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Wood Flooring; LFG recovery and electricity generation, typical collection, moderate conditions (k=0.04)","Wood Flooring, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and flaring, aggressive collection, bioreactor (k=0.12)","Leaves, landfilled",NULL,Bioreactor (k=0.12),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Newspaper; LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Newspaper, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Corrugated Containers; LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Corrugated Containers, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grains; LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Grains, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Wood Flooring; LFG recovery and flaring, typical collection, National average conditions","Wood Flooring, landfilled",NULL,National Average,Typical operation,Flaring,LFG recovery,Landfilling
